,x,y
0,6.413043478,78.79729744353773
1,26.08695652,124.57717396051761
2,386.8421053,106.1543942683576
3,11.3,105.83165475988179
4,55.0,109.41389384276953
5,414.5833333,104.2453352757149
6,211.36363640000002,125.71167255592655
7,28.40909091,69.91232499782389
8,257.1428571,88.06596750711572
9,44.75,100.27350450819765
10,477.5,126.52072040737289
11,100.952381,105.42146053548682
12,926.0,150.23356293772622
13,478.26086960000004,94.81691906156864
14,156.0,115.93191876644778
15,46.53846154,88.11202289324395
16,404.1666667,138.44946133866176
17,102.41379309999999,140.54839131299067
