,x,y
0,6.413043478,60.312577883321744
1,26.08695652,81.10825284835686
2,386.8421053,161.39471106217263
3,11.3,63.23382872857903
4,55.0,65.44887844477911
5,414.5833333,70.386458857451
6,211.36363640000002,103.5016807817734
7,28.40909091,68.11756440894285
8,257.1428571,71.74541034792685
9,44.75,85.48669657588775
10,477.5,160.01955089635433
11,100.952381,56.37221905159396
12,926.0,82.11810121876285
13,478.26086960000004,76.54356842029995
14,156.0,109.31019435976074
15,46.53846154,64.71114633012817
16,404.1666667,103.36921550427759
17,102.41379309999999,109.68856316628953
