"","Otu0001","Otu0002","Otu0003","Otu0004","Otu0005","Otu0006","Otu0007","Otu0008","Otu0009","Otu0010","Otu0011","Otu0012","Otu0013","Otu0014","Otu0015","Otu0016","Otu0018","Otu0022","Otu0025","Otu0027","Otu0028","Otu0029","Otu0031","Otu0032","Otu0033","Otu0035","Otu0036","Otu0038","Otu0042","Otu0049","Otu0053","Otu0054","Otu0055","Otu0057","Otu0058","Otu0060","Otu0068","Otu0069","Otu0072","Otu0074","Otu0081","Otu0085","Otu0087","Otu0092","Otu0094","Otu0102","Otu0110","Otu0111","Otu0113","Otu0117","Otu0121","Otu0123","Otu0124","Otu0129","Otu0130","Otu0136","Otu0140","Otu0143","Otu0144","Otu0149","Otu0154","Otu0156","Otu0170","Otu0180","Otu0186","Otu0191","Otu0197","Otu0202","Otu0203","Otu0214","Otu0215","Otu0217","Otu0220","Otu0224","Otu0225","Otu0226","Otu0236","Otu0245","Otu0249","Otu0250","Otu0259","Otu0261","Otu0267","Otu0269","Otu0275","Otu0287","Otu0289","Otu0298","Otu0310","Otu0324","Otu0336","Otu0340","Otu0348","Otu0361","Otu0367","Otu0371","Otu0386","Otu0387","Otu0405","Otu0413","Otu0415","Otu0441","Otu0446","Otu0448","Otu0464","Otu0471","Otu0500","Otu0515","Otu0529","Otu0544","Otu0550","Otu0561","Otu0569","Otu0584","Otu0588","Otu0599","Otu0641","Otu0677","Otu0693","Otu0699","Otu0701","Otu0723","Otu0772","Otu0783","Otu0825","Otu0831","Otu0856","Otu0866","Otu0880","Otu0920","Otu0927","Otu0945","Otu0963","Otu0987","Otu0994","Otu0996","Otu1018","Otu1052","Otu1069","Otu1104","Otu1184","Otu1220","Otu1222","Otu1258","Otu1391","Otu1398","Otu1411","Otu1424","Otu1435","Otu1439","Otu1480","Otu1508","Otu1526","Otu1547","Otu1595","Otu1609","Otu1670","Otu1717","Otu1737","Otu1772","Otu1785","Otu1856","Otu1860","Otu1890","Otu1954","Otu2049","Otu2085","Otu2218","Otu2228","Otu2245","Otu2272","Otu2300","Otu2360","Otu2541","Otu2568","Otu2627","Otu3215","Otu3375","Otu3440","Otu3451","Otu3696","Otu3836","Otu4076","Otu4529","Otu4531","Otu4802","Otu5221","Otu5259","Otu5406","Otu5714","Otu6081","Otu6291","Otu6445","Otu7458","HDNA"
"3939-JMD-0109",152,310,0,0,1294,482,256,7,61,28,69,30,88,26,59,0,0,1,187,276,1458,0,0,0,0,0,0,0,8,0,0,0,1,77,22,25,22,7,0,0,0,221,0,0,0,17,1,1,0,1,5,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,18,0,0,0,2,51,0,0,0,0,7,12,36,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,477.5
"3939-JMD-0110",14,7,36,1,1149,254,1774,7,7,0,33,219,0,91,403,4,3,189,68,143,1,50,0,0,0,0,0,0,307,0,0,0,1,60,1,0,2,114,0,0,0,26,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,295,0,0,1,0,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.04761905
"3939-JMD-0111",6,2129,0,2,212,1,32,15,1,15,12,0,281,455,447,133,49,622,94,375,0,0,0,0,0,0,0,0,2,0,1,0,0,164,0,0,0,0,0,0,0,82,0,0,0,0,68,1,0,0,74,0,0,1,0,0,9,0,40,22,0,0,0,1,2,0,0,0,0,0,1,5,0,0,0,0,0,0,4,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.40909091
"3939-JMD-0112",13,6,0,0,656,32,101,6,121,0,53,249,2208,538,144,73,0,228,1,209,167,27,0,0,0,0,0,0,0,0,0,0,0,202,0,14,0,0,1,0,0,7,0,0,0,0,11,2,0,0,25,0,0,0,0,0,0,0,0,10,0,0,0,8,9,0,45,0,0,0,0,34,0,1,0,0,2,0,2,96,0,0,3,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333
"3939-JMD-0113",527,163,1,1,0,44,396,9,1,169,51,446,0,251,52,20,0,0,0,1665,2,45,677,0,0,0,1,0,5,0,0,0,43,442,283,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.4137931
"3939-JMD-0114",11,0,0,0,62,380,3,11,67,0,3,0,365,918,22,0,1,2420,148,527,7,0,0,0,0,0,1,0,0,0,0,0,43,36,0,1,0,0,0,12,0,19,0,0,0,0,30,0,0,0,88,1,0,0,0,0,0,0,0,0,0,0,0,33,51,0,0,0,0,0,0,48,0,0,0,0,1,0,0,4,0,0,0,0,0,0,23,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.76923077
"3939-JMD-0115",348,839,0,9,239,264,419,25,192,0,43,15,979,76,269,6,0,859,31,65,160,13,58,0,0,0,0,0,2,0,0,0,0,61,0,0,0,3,0,14,0,93,0,0,1,0,0,1,0,4,23,0,0,2,0,0,0,0,0,21,1,1,0,5,0,0,0,0,0,15,0,0,0,0,3,0,0,0,70,128,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.60714286
"3939-JMD-0116",125,111,0,0,120,156,264,3,1,16,54,176,0,314,603,17,39,6,418,406,4,26,184,0,0,0,0,0,1298,0,145,0,1,262,0,2,0,137,0,0,0,11,0,0,0,0,29,1,0,0,22,0,0,2,0,0,0,2,3,5,1,201,0,0,4,0,0,0,0,0,0,46,0,0,0,0,0,0,0,78,1,0,6,0,0,0,5,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,9,0,0,16,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.25
"3939-JMD-0119",86,0,0,0,0,0,0,11,3735,1,743,0,2,16,0,0,0,152,0,7,264,0,0,0,0,52,0,0,0,0,0,0,0,3,0,0,198,0,0,0,1,2,0,0,0,0,0,59,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.04166667
"3939-JMD-0120",1610,0,0,0,0,0,3523,12,0,0,113,19,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,46,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.6818182
