,0,1
0,Otu00021,0.23
1,Otu01493,0.07
2,Otu00079,0.04
3,Otu00328,0.04
4,Otu00055,0.02
5,Otu00108,0.02
6,Otu00361,0.02
7,Otu00794,0.02
8,Otu02000,0.02
9,Otu02808,0.02
10,Otu05899,0.02
11,Otu00001,0.01
12,Otu00003,0.01
13,Otu00008,0.01
14,Otu00011,0.01
15,Otu00019,0.01
16,Otu00043,0.01
17,Otu00072,0.01
18,Otu00110,0.01
19,Otu00185,0.01
20,Otu00229,0.01
21,Otu00343,0.01
22,Otu00571,0.01
23,Otu00728,0.01
24,Otu01046,0.01
25,Otu01423,0.01
26,Otu02559,0.01
27,Otu02894,0.01
28,Otu03513,0.01
29,Otu19805,0.01
30,Otu00002,0.0
31,Otu00004,0.0
32,Otu00005,0.0
33,Otu00006,0.0
34,Otu00007,0.0
35,Otu00010,0.0
36,Otu00012,0.0
37,Otu00014,0.0
38,Otu00015,0.0
39,Otu00016,0.0
40,Otu00017,0.0
41,Otu00020,0.0
42,Otu00022,0.0
43,Otu00023,0.0
44,Otu00024,0.0
45,Otu00025,0.0
46,Otu00026,0.0
47,Otu00028,0.0
48,Otu00029,0.0
49,Otu00031,0.0
50,Otu00032,0.0
51,Otu00033,0.0
52,Otu00034,0.0
53,Otu00035,0.0
54,Otu00039,0.0
55,Otu00042,0.0
56,Otu00045,0.0
57,Otu00048,0.0
58,Otu00050,0.0
59,Otu00051,0.0
60,Otu00052,0.0
61,Otu00053,0.0
62,Otu00054,0.0
63,Otu00056,0.0
64,Otu00058,0.0
65,Otu00060,0.0
66,Otu00061,0.0
67,Otu00062,0.0
68,Otu00063,0.0
69,Otu00064,0.0
70,Otu00068,0.0
71,Otu00070,0.0
72,Otu00071,0.0
73,Otu00073,0.0
74,Otu00074,0.0
75,Otu00077,0.0
76,Otu00078,0.0
77,Otu00083,0.0
78,Otu00084,0.0
79,Otu00085,0.0
80,Otu00086,0.0
81,Otu00087,0.0
82,Otu00088,0.0
83,Otu00089,0.0
84,Otu00090,0.0
85,Otu00091,0.0
86,Otu00092,0.0
87,Otu00096,0.0
88,Otu00097,0.0
89,Otu00099,0.0
90,Otu00102,0.0
91,Otu00103,0.0
92,Otu00104,0.0
93,Otu00105,0.0
94,Otu00106,0.0
95,Otu00111,0.0
96,Otu00115,0.0
97,Otu00119,0.0
98,Otu00120,0.0
99,Otu00121,0.0
100,Otu00127,0.0
101,Otu00128,0.0
102,Otu00129,0.0
103,Otu00130,0.0
104,Otu00131,0.0
105,Otu00138,0.0
106,Otu00142,0.0
107,Otu00143,0.0
108,Otu00144,0.0
109,Otu00149,0.0
110,Otu00150,0.0
111,Otu00151,0.0
112,Otu00155,0.0
113,Otu00160,0.0
114,Otu00162,0.0
115,Otu00164,0.0
116,Otu00165,0.0
117,Otu00167,0.0
118,Otu00168,0.0
119,Otu00172,0.0
120,Otu00174,0.0
121,Otu00175,0.0
122,Otu00176,0.0
123,Otu00177,0.0
124,Otu00178,0.0
125,Otu00180,0.0
126,Otu00181,0.0
127,Otu00182,0.0
128,Otu00183,0.0
129,Otu00186,0.0
130,Otu00187,0.0
131,Otu00189,0.0
132,Otu00190,0.0
133,Otu00191,0.0
134,Otu00192,0.0
135,Otu00193,0.0
136,Otu00199,0.0
137,Otu00202,0.0
138,Otu00203,0.0
139,Otu00207,0.0
140,Otu00208,0.0
141,Otu00210,0.0
142,Otu00213,0.0
143,Otu00216,0.0
144,Otu00221,0.0
145,Otu00226,0.0
146,Otu00232,0.0
147,Otu00233,0.0
148,Otu00236,0.0
149,Otu00237,0.0
150,Otu00241,0.0
151,Otu00243,0.0
152,Otu00245,0.0
153,Otu00246,0.0
154,Otu00249,0.0
155,Otu00252,0.0
156,Otu00253,0.0
157,Otu00256,0.0
158,Otu00257,0.0
159,Otu00259,0.0
160,Otu00260,0.0
161,Otu00263,0.0
162,Otu00264,0.0
163,Otu00266,0.0
164,Otu00270,0.0
165,Otu00272,0.0
166,Otu00274,0.0
167,Otu00276,0.0
168,Otu00278,0.0
169,Otu00279,0.0
170,Otu00283,0.0
171,Otu00284,0.0
172,Otu00286,0.0
173,Otu00289,0.0
174,Otu00290,0.0
175,Otu00291,0.0
176,Otu00293,0.0
177,Otu00294,0.0
178,Otu00295,0.0
179,Otu00296,0.0
180,Otu00298,0.0
181,Otu00300,0.0
182,Otu00301,0.0
183,Otu00304,0.0
184,Otu00306,0.0
185,Otu00308,0.0
186,Otu00309,0.0
187,Otu00310,0.0
188,Otu00314,0.0
189,Otu00315,0.0
190,Otu00316,0.0
191,Otu00322,0.0
192,Otu00324,0.0
193,Otu00325,0.0
194,Otu00330,0.0
195,Otu00334,0.0
196,Otu00338,0.0
197,Otu00342,0.0
198,Otu00346,0.0
199,Otu00348,0.0
200,Otu00349,0.0
201,Otu00351,0.0
202,Otu00354,0.0
203,Otu00356,0.0
204,Otu00358,0.0
205,Otu00359,0.0
206,Otu00364,0.0
207,Otu00367,0.0
208,Otu00368,0.0
209,Otu00369,0.0
210,Otu00370,0.0
211,Otu00371,0.0
212,Otu00384,0.0
213,Otu00385,0.0
214,Otu00387,0.0
215,Otu00388,0.0
216,Otu00391,0.0
217,Otu00392,0.0
218,Otu00393,0.0
219,Otu00395,0.0
220,Otu00396,0.0
221,Otu00399,0.0
222,Otu00401,0.0
223,Otu00405,0.0
224,Otu00410,0.0
225,Otu00411,0.0
226,Otu00412,0.0
227,Otu00414,0.0
228,Otu00415,0.0
229,Otu00416,0.0
230,Otu00417,0.0
231,Otu00418,0.0
232,Otu00421,0.0
233,Otu00423,0.0
234,Otu00425,0.0
235,Otu00427,0.0
236,Otu00428,0.0
237,Otu00437,0.0
238,Otu00439,0.0
239,Otu00440,0.0
240,Otu00444,0.0
241,Otu00448,0.0
242,Otu00449,0.0
243,Otu00452,0.0
244,Otu00453,0.0
245,Otu00454,0.0
246,Otu00459,0.0
247,Otu00461,0.0
248,Otu00463,0.0
249,Otu00464,0.0
250,Otu00471,0.0
251,Otu00473,0.0
252,Otu00481,0.0
253,Otu00485,0.0
254,Otu00486,0.0
255,Otu00488,0.0
256,Otu00490,0.0
257,Otu00491,0.0
258,Otu00492,0.0
259,Otu00497,0.0
260,Otu00499,0.0
261,Otu00508,0.0
262,Otu00510,0.0
263,Otu00518,0.0
264,Otu00520,0.0
265,Otu00522,0.0
266,Otu00524,0.0
267,Otu00529,0.0
268,Otu00531,0.0
269,Otu00534,0.0
270,Otu00538,0.0
271,Otu00541,0.0
272,Otu00546,0.0
273,Otu00547,0.0
274,Otu00554,0.0
275,Otu00557,0.0
276,Otu00558,0.0
277,Otu00565,0.0
278,Otu00568,0.0
279,Otu00576,0.0
280,Otu00577,0.0
281,Otu00579,0.0
282,Otu00580,0.0
283,Otu00582,0.0
284,Otu00590,0.0
285,Otu00593,0.0
286,Otu00596,0.0
287,Otu00598,0.0
288,Otu00603,0.0
289,Otu00604,0.0
290,Otu00620,0.0
291,Otu00622,0.0
292,Otu00623,0.0
293,Otu00625,0.0
294,Otu00627,0.0
295,Otu00631,0.0
296,Otu00633,0.0
297,Otu00635,0.0
298,Otu00640,0.0
299,Otu00644,0.0
300,Otu00647,0.0
301,Otu00649,0.0
302,Otu00651,0.0
303,Otu00654,0.0
304,Otu00656,0.0
305,Otu00662,0.0
306,Otu00672,0.0
307,Otu00673,0.0
308,Otu00675,0.0
309,Otu00677,0.0
310,Otu00682,0.0
311,Otu00684,0.0
312,Otu00687,0.0
313,Otu00692,0.0
314,Otu00693,0.0
315,Otu00697,0.0
316,Otu00708,0.0
317,Otu00714,0.0
318,Otu00720,0.0
319,Otu00722,0.0
320,Otu00723,0.0
321,Otu00725,0.0
322,Otu00726,0.0
323,Otu00735,0.0
324,Otu00736,0.0
325,Otu00738,0.0
326,Otu00742,0.0
327,Otu00776,0.0
328,Otu00777,0.0
329,Otu00780,0.0
330,Otu00782,0.0
331,Otu00783,0.0
332,Otu00786,0.0
333,Otu00787,0.0
334,Otu00789,0.0
335,Otu00792,0.0
336,Otu00806,0.0
337,Otu00812,0.0
338,Otu00819,0.0
339,Otu00823,0.0
340,Otu00825,0.0
341,Otu00827,0.0
342,Otu00828,0.0
343,Otu00830,0.0
344,Otu00835,0.0
345,Otu00838,0.0
346,Otu00842,0.0
347,Otu00843,0.0
348,Otu00847,0.0
349,Otu00854,0.0
350,Otu00858,0.0
351,Otu00860,0.0
352,Otu00862,0.0
353,Otu00863,0.0
354,Otu00867,0.0
355,Otu00870,0.0
356,Otu00878,0.0
357,Otu00880,0.0
358,Otu00882,0.0
359,Otu00883,0.0
360,Otu00891,0.0
361,Otu00897,0.0
362,Otu00900,0.0
363,Otu00906,0.0
364,Otu00908,0.0
365,Otu00912,0.0
366,Otu00913,0.0
367,Otu00921,0.0
368,Otu00922,0.0
369,Otu00925,0.0
370,Otu00926,0.0
371,Otu00934,0.0
372,Otu00939,0.0
373,Otu00941,0.0
374,Otu00942,0.0
375,Otu00947,0.0
376,Otu00948,0.0
377,Otu00949,0.0
378,Otu00950,0.0
379,Otu00953,0.0
380,Otu00958,0.0
381,Otu00959,0.0
382,Otu00962,0.0
383,Otu00964,0.0
384,Otu00967,0.0
385,Otu00969,0.0
386,Otu00972,0.0
387,Otu00976,0.0
388,Otu00979,0.0
389,Otu00995,0.0
390,Otu00996,0.0
391,Otu01000,0.0
392,Otu01003,0.0
393,Otu01006,0.0
394,Otu01011,0.0
395,Otu01012,0.0
396,Otu01023,0.0
397,Otu01027,0.0
398,Otu01040,0.0
399,Otu01047,0.0
400,Otu01048,0.0
401,Otu01051,0.0
402,Otu01059,0.0
403,Otu01060,0.0
404,Otu01061,0.0
405,Otu01074,0.0
406,Otu01087,0.0
407,Otu01088,0.0
408,Otu01091,0.0
409,Otu01093,0.0
410,Otu01099,0.0
411,Otu01101,0.0
412,Otu01104,0.0
413,Otu01108,0.0
414,Otu01109,0.0
415,Otu01111,0.0
416,Otu01113,0.0
417,Otu01117,0.0
418,Otu01118,0.0
419,Otu01122,0.0
420,Otu01129,0.0
421,Otu01136,0.0
422,Otu01137,0.0
423,Otu01140,0.0
424,Otu01143,0.0
425,Otu01146,0.0
426,Otu01147,0.0
427,Otu01149,0.0
428,Otu01160,0.0
429,Otu01162,0.0
430,Otu01164,0.0
431,Otu01166,0.0
432,Otu01168,0.0
433,Otu01169,0.0
434,Otu01176,0.0
435,Otu01177,0.0
436,Otu01181,0.0
437,Otu01191,0.0
438,Otu01195,0.0
439,Otu01204,0.0
440,Otu01205,0.0
441,Otu01208,0.0
442,Otu01210,0.0
443,Otu01213,0.0
444,Otu01214,0.0
445,Otu01215,0.0
446,Otu01216,0.0
447,Otu01224,0.0
448,Otu01232,0.0
449,Otu01235,0.0
450,Otu01237,0.0
451,Otu01248,0.0
452,Otu01249,0.0
453,Otu01250,0.0
454,Otu01258,0.0
455,Otu01261,0.0
456,Otu01265,0.0
457,Otu01270,0.0
458,Otu01277,0.0
459,Otu01278,0.0
460,Otu01289,0.0
461,Otu01299,0.0
462,Otu01302,0.0
463,Otu01304,0.0
464,Otu01305,0.0
465,Otu01307,0.0
466,Otu01310,0.0
467,Otu01311,0.0
468,Otu01316,0.0
469,Otu01318,0.0
470,Otu01324,0.0
471,Otu01325,0.0
472,Otu01330,0.0
473,Otu01333,0.0
474,Otu01335,0.0
475,Otu01337,0.0
476,Otu01342,0.0
477,Otu01353,0.0
478,Otu01354,0.0
479,Otu01360,0.0
480,Otu01364,0.0
481,Otu01365,0.0
482,Otu01371,0.0
483,Otu01372,0.0
484,Otu01379,0.0
485,Otu01389,0.0
486,Otu01415,0.0
487,Otu01416,0.0
488,Otu01420,0.0
489,Otu01421,0.0
490,Otu01425,0.0
491,Otu01427,0.0
492,Otu01439,0.0
493,Otu01441,0.0
494,Otu01442,0.0
495,Otu01447,0.0
496,Otu01467,0.0
497,Otu01469,0.0
498,Otu01472,0.0
499,Otu01473,0.0
500,Otu01474,0.0
501,Otu01475,0.0
502,Otu01489,0.0
503,Otu01490,0.0
504,Otu01502,0.0
505,Otu01517,0.0
506,Otu01518,0.0
507,Otu01533,0.0
508,Otu01547,0.0
509,Otu01556,0.0
510,Otu01560,0.0
511,Otu01565,0.0
512,Otu01574,0.0
513,Otu01576,0.0
514,Otu01590,0.0
515,Otu01594,0.0
516,Otu01596,0.0
517,Otu01599,0.0
518,Otu01602,0.0
519,Otu01605,0.0
520,Otu01606,0.0
521,Otu01608,0.0
522,Otu01611,0.0
523,Otu01612,0.0
524,Otu01620,0.0
525,Otu01622,0.0
526,Otu01631,0.0
527,Otu01632,0.0
528,Otu01637,0.0
529,Otu01641,0.0
530,Otu01650,0.0
531,Otu01670,0.0
532,Otu01674,0.0
533,Otu01676,0.0
534,Otu01684,0.0
535,Otu01690,0.0
536,Otu01698,0.0
537,Otu01700,0.0
538,Otu01701,0.0
539,Otu01712,0.0
540,Otu01713,0.0
541,Otu01721,0.0
542,Otu01723,0.0
543,Otu01754,0.0
544,Otu01755,0.0
545,Otu01759,0.0
546,Otu01776,0.0
547,Otu01777,0.0
548,Otu01779,0.0
549,Otu01788,0.0
550,Otu01790,0.0
551,Otu01801,0.0
552,Otu01804,0.0
553,Otu01805,0.0
554,Otu01807,0.0
555,Otu01810,0.0
556,Otu01813,0.0
557,Otu01817,0.0
558,Otu01820,0.0
559,Otu01822,0.0
560,Otu01826,0.0
561,Otu01827,0.0
562,Otu01835,0.0
563,Otu01841,0.0
564,Otu01855,0.0
565,Otu01858,0.0
566,Otu01860,0.0
567,Otu01868,0.0
568,Otu01875,0.0
569,Otu01878,0.0
570,Otu01885,0.0
571,Otu01889,0.0
572,Otu01893,0.0
573,Otu01896,0.0
574,Otu01900,0.0
575,Otu01909,0.0
576,Otu01910,0.0
577,Otu01914,0.0
578,Otu01923,0.0
579,Otu01948,0.0
580,Otu01957,0.0
581,Otu01982,0.0
582,Otu01999,0.0
583,Otu02009,0.0
584,Otu02021,0.0
585,Otu02022,0.0
586,Otu02025,0.0
587,Otu02039,0.0
588,Otu02041,0.0
589,Otu02046,0.0
590,Otu02053,0.0
591,Otu02055,0.0
592,Otu02057,0.0
593,Otu02073,0.0
594,Otu02076,0.0
595,Otu02077,0.0
596,Otu02078,0.0
597,Otu02081,0.0
598,Otu02101,0.0
599,Otu02107,0.0
600,Otu02110,0.0
601,Otu02111,0.0
602,Otu02119,0.0
603,Otu02138,0.0
604,Otu02156,0.0
605,Otu02169,0.0
606,Otu02185,0.0
607,Otu02189,0.0
608,Otu02220,0.0
609,Otu02228,0.0
610,Otu02231,0.0
611,Otu02244,0.0
612,Otu02245,0.0
613,Otu02246,0.0
614,Otu02255,0.0
615,Otu02261,0.0
616,Otu02265,0.0
617,Otu02269,0.0
618,Otu02273,0.0
619,Otu02274,0.0
620,Otu02277,0.0
621,Otu02283,0.0
622,Otu02304,0.0
623,Otu02305,0.0
624,Otu02308,0.0
625,Otu02309,0.0
626,Otu02315,0.0
627,Otu02327,0.0
628,Otu02328,0.0
629,Otu02362,0.0
630,Otu02373,0.0
631,Otu02375,0.0
632,Otu02387,0.0
633,Otu02395,0.0
634,Otu02407,0.0
635,Otu02434,0.0
636,Otu02448,0.0
637,Otu02459,0.0
638,Otu02463,0.0
639,Otu02473,0.0
640,Otu02478,0.0
641,Otu02489,0.0
