,x,y
0,17.45238095,89.35677282
1,33.33333333,112.919446
2,211.9047619,160.1840337
3,51.75,50.0334509
4,2.073809524,68.65825189
5,17.175,55.48606279
6,36.81818182,102.1900546
7,7.227272727,100.4966237
8,73.26086957,71.60177755
9,21.34782609,89.24659759
10,3.25,157.697633
11,58.94736842,143.2228962
12,7.966666667,55.41945392
13,128,168.8054404
14,11,73.88459482
15,37.61904762,31.24237759
16,664.2857143,78.86930499
17,23.26190476,103.0320574
18,43.16666667,94.90634874
19,116.4583333,71.21347877
20,11.3,85.57432686
21,11.80952381,44.10973599
22,92.22222222,47.12706879
23,7.44,53.64755297
24,6.075,72.17557544
25,151.6666667,111.2087691
26,104.4,103.69828
27,81.5,104.5782185
28,156,112.0785168
29,46.53846154,119.250236
30,423.8095238,125.9984067
31,153.2142857,90.04511505
32,62.40740741,140.7705388
33,66.36363636,177.7923788
34,28.57142857,53.35119802
35,46.42857143,110.4292689
36,650,130.7073874
37,58.18181818,82.33158748
38,3.880952381,26.69887534
39,0,229.2769547
40,477.5,292.3695515
